Date,Entertainment,Tech,Pharma,continent,location,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,population
2020-01-06,100.0,100.0,100.0,North AmericaNorth America,United StatesUnited States,0.0,0.0,676579712
2020-01-13,101.92201562359892,103.20873993201411,100.55952926241898,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-01-20,103.75248211344513,104.92654100798921,102.5718870607153,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-01-27,100.3477908452931,102.75497216475085,99.81347928919979,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-02-03,99.85355088229325,104.35391754138892,98.20356511107835,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-02-10,102.85554394712375,109.16162018099757,101.68839125928022,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-02-17,104.22842699784323,110.15558519534241,102.0221612703196,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.0,0.0,2368028992
2020-02-24,99.28608636044004,102.9926575669902,98.33119103228013,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.02,0.0,2368028992
2020-03-02,96.13763680382839,100.99397367982306,95.17030677060812,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.07,0.0,2368028992
2020-03-09,85.11805598161318,88.76405497240738,90.40932823782877,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,0.37,0.02,2368028992
2020-03-16,75.0137084043211,78.39240474299751,80.21988045516379,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,3.7,0.09,2368028992
2020-03-23,74.0135405703876,76.45592165853094,73.6057252276616,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,30.25,0.36,2368028992
2020-03-30,81.35616454922578,88.94517213279256,87.7606486825136,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,136.88,2.09,2368028992
2020-04-06,82.47588825150667,90.90003469657482,90.08858295701313,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,345.81,9.16,2368028992
2020-04-13,85.6148694965808,92.73540031563138,92.72229845318797,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,551.76,25.52,2368028992
2020-04-20,88.05627805097905,95.38531222237974,98.62099744287977,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,622.5,42.35,2368028992
2020-04-27,90.05713727812885,97.07948253923469,100.19926604618001,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,581.89,45.71,2368028992
2020-05-04,91.54401614509347,97.82882976875999,96.45092125519284,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,595.0999999999999,42.550000000000004,2368028992
2020-05-11,95.25202521579492,103.61733456128937,99.74549594967868,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,567.46,39.18,2368028992
2020-05-18,96.05973708180149,103.99746309459479,99.87372996554076,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,522.5500000000001,35.18,2368028992
2020-05-25,98.59291599218466,104.79024170098485,98.26591124874868,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,492.64,28.36,2368028992
2020-06-01,100.30006583573629,106.36499306241814,100.60369008274854,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,470.34999999999997,23.6,2368028992
2020-06-08,103.80617274919652,110.68733360115436,102.50744546171559,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,431.55,19.25,2368028992
2020-06-15,100.9425689387468,109.00400379755916,96.49037345065287,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,440.31,17.0,2368028992
2020-06-22,102.17657604617469,113.1268563620728,98.99918301660641,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,468.25,14.97,2368028992
2020-06-29,98.29551957138341,111.78737273445405,97.46376043437023,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,592.56,14.38,2368028992
2020-07-06,103.57448670542873,116.64437327968594,101.66383738299724,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,826.39,16.42,2368028992
2020-07-13,103.9975299800369,115.26129363111615,100.32656326756543,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1043.7,13.92,2368028992
2020-07-20,106.86694456111869,119.31245669427257,104.87334456500605,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1210.31,17.13,2368028992
2020-07-27,105.28510236395128,116.37211261932796,104.89314872894246,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1366.57,20.41,2368028992
2020-08-03,107.01409421589403,123.22203450870725,105.61629654245594,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1339.31,22.97,2368028992
2020-08-10,109.86510310725797,123.5160801813234,105.05165599789237,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1216.38,23.57,2368028992
2020-08-17,110.17778598430326,124.8446539718566,106.41866922921044,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1089.6,22.5,2368028992
2020-08-24,113.1023955123153,129.54920275867232,105.32902933793775,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,1022.68,21.080000000000002,2368028992
2020-08-31,116.358049362644,134.54778855262597,107.24085429739674,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,907.19,19.25,2368028992
2020-09-07,113.63581393263517,128.63443154982772,104.70493521408795,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,863.85,18.03,2368028992
2020-09-14,110.38013058600885,125.59607225067772,105.091280760756,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,822.98,16.11,2368028992
2020-09-21,106.77967976459595,122.72004335512065,102.61509465157737,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,748.76,14.72,2368028992
2020-09-28,109.30493154499248,126.73650117798512,103.38083374379723,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,842.61,14.8,2368028992
2020-10-05,110.65049365003705,128.19900859996721,105.71801270063222,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,886.98,13.92,2368028992
2020-10-12,114.13426449212093,134.74757115310825,108.50268358747581,North AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth AmericaNorth America,United StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited StatesUnited States,903.57,13.66,2368028992
